,country,equipment_type,destroyed,abandoned,captured,damaged,type_total,Date
,Israel,All Types,1,1,23,2,27,2023-10-08
,Israel,Tanks,0,0,1,0,1,2023-10-08
,Israel,Infantry Mobility Vehicles,0,1,6,0,7,2023-10-08
,Israel,Armored Personnel Carriers,0,0,9,0,9,2023-10-08
,Israel,Command Posts and Communications Stations,0,0,1,0,1,2023-10-08
,Israel,Engineering Vehicles and Equipment,1,0,0,0,1,2023-10-08
,Israel,"Trucks, Vehicles and Jeeps",0,0,6,2,8,2023-10-08
,Hamas,All Types,7,3,0,0,10,2023-10-08
,Hamas,"Trucks, Vehicles and Jeeps",7,3,0,0,10,2023-10-08
