"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Israel","Tanks",4,0,0,1,5,1,"2023-10-10"
"2","Israel","Armored Personnel Carriers",0,0,26,1,27,2,"2023-10-10"
"3","Israel","Infantry Mobility Vehicles",0,1,19,3,23,3,"2023-10-10"
"4","Israel","Command Posts And Communications Stations",0,0,1,0,1,4,"2023-10-10"
"5","Israel","Engineering Vehicles And Equipment",3,0,2,0,5,5,"2023-10-10"
"6","Israel","Trucks, Vehicles, and Jeeps",4,1,8,2,15,6,"2023-10-10"
"7","Israel","All Types",11,2,56,7,76,21,"2023-10-10"
"8","Hamas","Trucks, Vehicles, and Jeeps",16,5,2,1,24,1,"2023-10-10"
"9","Hamas","Naval Ships",5,0,0,0,5,2,"2023-10-10"
"10","Hamas","All Types",21,5,2,1,29,3,"2023-10-10"
