"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Israel","Tanks",4,0,0,1,5,1,"2023-10-11"
"2","Israel","Armored Personnel Carriers",2,0,52,1,55,2,"2023-10-11"
"3","Israel",", 3, 4, 5, 6, 7 and 8, captured)",0,0,0,0,0,3,"2023-10-11"
"4","Israel","Infantry Mobility Vehicles",2,0,21,2,25,4,"2023-10-11"
"5","Israel","Command Posts And Communications Stations",0,0,1,0,1,5,"2023-10-11"
"6","Israel","Engineering Vehicles And Equipment",3,0,6,0,9,6,"2023-10-11"
"7","Israel","Trucks, Vehicles, and Jeeps",8,0,11,3,22,7,"2023-10-11"
"8","Israel","All Types",19,0,91,7,117,28,"2023-10-11"
"9","Hamas","Trucks, Vehicles, and Jeeps",17,5,8,1,31,1,"2023-10-11"
"10","Hamas","Naval Ships",5,0,0,0,5,2,"2023-10-11"
"11","Hamas","All Types",22,5,8,1,36,3,"2023-10-11"
